,weight,band
0,0.021352412091273087,1
1,0.013888008904041179,2
2,0.01941623585819386,3
3,0.022001798476372753,4
4,0.03767587131983708,5
5,0.041224800406636945,6
6,0.02153093200947994,7
7,0.013712685732783786,8
8,0.01545728725162412,9
9,0.04417199823243191,10
10,0.0260338287837384,11
11,0.0187429895348122,12
12,0.024159619935624786,13
13,0.026506611671857878,14
14,0.018844311567815984,15
15,0.024444863850286627,16
16,0.015323989302862467,17
17,0.013699157577582461,18
18,0.013812750924325873,19
19,0.019879529230775104,20
20,0.011458691762856394,21
21,0.011132088070618874,22
22,0.01308534045932965,23
23,0.022852033582557753,24
24,0.017402881598697552,25
25,0.012455727764359237,26
26,0.021688296995242967,27
27,0.014230238163686631,28
28,0.017552455044863496,29
29,0.04437148587668027,30
30,0.02168209992158946,31
31,0.015217987925647214,32
32,0.014265017871225718,33
33,0.022834304015843035,34
34,0.023147313336340417,35
35,0.010967337569397387,36
36,0.015157614074363997,37
37,0.01538905565281568,38
38,0.03099092868753143,39
39,0.016553237036997577,40
40,0.014228297488182468,41
41,0.022258011250719616,42
42,0.015508281176339508,43
43,0.018271367904133785,44
44,0.10542022410762335,45
